"filename", "language", "JSON", "YAML", "Ignore", "JSON with Comments", "JavaScript", "TypeScript", "Markdown", "TypeScript JSX", "Properties", "Docker", "CSS", "Prisma", "SQL", "XML", "comment", "blank", "total"
"d:\Learn\codeEditor\.dockerignore", "Ignore", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Learn\codeEditor\.prettierignore", "Ignore", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Learn\codeEditor\.prettierrc.cjs", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 33
"d:\Learn\codeEditor\apps\client\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Learn\codeEditor\apps\client\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 12, 10, 33
"d:\Learn\codeEditor\apps\client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 11, 30
"d:\Learn\codeEditor\apps\client\nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 6, 24
"d:\Learn\codeEditor\apps\client\package.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Learn\codeEditor\apps\client\postcss.config.cjs", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Learn\codeEditor\apps\client\rsbuild.config.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\Learn\codeEditor\apps\client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 8, 54
"d:\Learn\codeEditor\apps\client\src\Layout\Container\Container.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Learn\codeEditor\apps\client\src\Layout\Header\Avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Learn\codeEditor\apps\client\src\Layout\Header\Header.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 6, 55
