Date : 2024-07-09 11:05:04
Directory : d:\Learn\codeEditor
Total : 132 files,  12090 codes, 197 comments, 1544 blanks, all 13831 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          3 |      7,094 |          9 |        982 |      8,085 |
| TypeScript         |         54 |      1,619 |         62 |        200 |      1,881 |
| TypeScript JSX     |         30 |      1,479 |         43 |        162 |      1,684 |
| CSS                |         14 |      1,437 |         31 |        107 |      1,575 |
| JSON               |          7 |        157 |          0 |          6 |        163 |
| Markdown           |          2 |         70 |          2 |         32 |        104 |
| JSON with Comments |          3 |         64 |          0 |          3 |         67 |
| JavaScript         |          4 |         55 |         16 |          5 |         76 |
| Docker             |          3 |         33 |         18 |         24 |         75 |
| XML                |          2 |         30 |          0 |          2 |         32 |
| Properties         |          1 |         17 |          1 |          6 |         24 |
| Prisma             |          1 |         17 |          4 |          6 |         27 |
| SQL                |          4 |         13 |         11 |          7 |         31 |
| Ignore             |          4 |          5 |          0 |          2 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        132 |     12,090 |        197 |      1,544 |     13,831 |
| . (Files)                                                                                               |          9 |      7,232 |         24 |        986 |      8,242 |
| apps                                                                                                    |        111 |      4,595 |        158 |        525 |      5,278 |
| apps\client                                                                                             |         61 |      3,296 |         90 |        331 |      3,717 |
| apps\client (Files)                                                                                     |          9 |        114 |         14 |         35 |        163 |
| apps\client\src                                                                                         |         52 |      3,182 |         76 |        296 |      3,554 |
| apps\client\src (Files)                                                                                 |          4 |         74 |          1 |         12 |         87 |
| apps\client\src\Layout                                                                                  |          7 |        245 |          0 |         24 |        269 |
| apps\client\src\Layout\Container                                                                        |          1 |         14 |          0 |          3 |         17 |
| apps\client\src\Layout\Header                                                                           |          5 |        222 |          0 |         19 |        241 |
| apps\client\src\Layout\Main                                                                             |          1 |          9 |          0 |          2 |         11 |
| apps\client\src\components                                                                              |         22 |      1,201 |         66 |        133 |      1,400 |
| apps\client\src\components (Files)                                                                      |          4 |        119 |          1 |         27 |        147 |
| apps\client\src\components\CodeEditor                                                                   |          3 |        287 |          7 |         29 |        323 |
| apps\client\src\components\Collapse                                                                     |          2 |         54 |         32 |          6 |         92 |
| apps\client\src\components\FlexLayout                                                                   |          5 |        240 |          0 |         13 |        253 |
